#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2017-12-13-10-14-01
#types
#time	string	addr	srcort	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
1295981542.708292	CGObBC3hYKUSv7Wqp9	192.168.3.131	55950	72.14.213.102	80	tcp	http	0.058485	944	487	SF	-	-	0	ShADFadRf	5	1156	4	659	(empty)
1295981543.461968	C1zgd34uCyO5gcQAl9	192.168.3.131	55955	207.46.148.38	80	tcp	http	0.028620	448	279	SF	-	-	0	ShADfFa	5	660	3	407	(empty)
1295981543.337241	CVLigl2TZMPgwyIDR5	192.168.3.131	55954	65.55.17.37	80	tcp	http	1.776718	1837	24470	RSTO	-	-	0	ShADdFR	13	2369	19	25234	(empty)
1295981546.609581	CAkZp34iNL7i5S7YL3	192.168.3.131	58264	208.82.236.129	80	tcp	http	0.125448	553	216	SF	-	-	0	ShADdfFa	5	765	4	388	(empty)
1295981546.736952	CMPpgE1LpJPRNiEXV1	192.168.3.131	58265	208.82.236.129	80	tcp	http	0.169843	606	6648	SF	-	-	0	ShADdfFa	6	858	8	6980	(empty)
1295981549.760088	Ch3rve10qLbooyg8L3	192.168.3.131	57721	72.14.213.105	443	tcp	-	0.001363	0	98	SF	-	-	0	^dfAFa	2	80	4	258	(empty)
1295981549.832444	CuaQ9AYnBfLhrWWib	192.168.3.131	58272	208.82.236.129	80	tcp	http	0.166319	564	6584	SF	-	-	0	ShADdfFa	7	856	8	6916	(empty)
1295981543.841133	Ccogsd42MsEtoWNook	192.168.3.131	55963	65.54.95.140	80	tcp	http	9.427326	1193	12579	SF	-	-	0	ShADdfFa	12	1685	13	13111	(empty)
1295981545.127681	C1hduBsYYiVRWJAk	192.168.3.131	55973	65.54.95.142	80	tcp	http	8.140921	388	33204	SF	-	-	0	ShADdfFa	16	1040	26	34256	(empty)
1295981543.652521	C7yAVFMyfyMtao5H9	192.168.3.131	55960	206.108.207.139	80	tcp	http	17.762163	20300	31932	SF	-	-	31410	ShADadFf	6	763	4	694	(empty)
1295981561.406421	CphT6C1UCk5W4BNgs	192.168.3.131	57038	74.217.50.10	80	tcp	-	0.081750	0	0	SF	-	-	0	FfA	2	80	1	40	(empty)
1295981562.220872	CUY06t3vm4gGg4rHyl	192.168.3.131	52201	72.14.213.102	443	tcp	ssl	0.067879	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.221263	C18mj13f76JHTTTiZf	192.168.3.131	52203	72.14.213.102	443	tcp	ssl	0.068419	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.221386	CnJ8kA3p4mmDeq3Ok3	192.168.3.131	52204	72.14.213.102	443	tcp	ssl	0.070702	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.223069	C33nYpJPTxxUv138g	192.168.3.131	52205	72.14.213.102	443	tcp	ssl	0.070857	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.223270	CMXxReT9Zv0ggLgl	192.168.3.131	52206	72.14.213.102	443	tcp	ssl	0.071444	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.269795	CljWKdIJzebb4R6kb	192.168.3.131	52207	72.14.213.102	443	tcp	ssl	0.068342	182	2043	SF	-	-	0	ShADadFf	6	434	5	2255	(empty)
1295981562.271216	CQf5sr3OleVxXeax4j	192.168.3.131	52209	72.14.213.102	443	tcp	ssl	0.073342	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.270019	CWYtcjUllkAkV594l	192.168.3.131	52208	72.14.213.102	443	tcp	ssl	0.074541	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.271658	Cl6X4w36ExV06Bf4N8	192.168.3.131	52211	72.14.213.102	443	tcp	ssl	0.077819	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.271438	CbG0D719nRj1rhBGj2	192.168.3.131	52210	72.14.213.102	443	tcp	ssl	0.078040	477	198	SF	-	-	0	ShADadFfR	6	729	5	410	(empty)
1295981562.317554	ClbMSM3JtiFJ9TJbHd	192.168.3.131	52212	72.14.213.102	443	tcp	ssl	0.066224	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.322663	ChIpL01nb9LG9Dcmc2	192.168.3.131	52213	72.14.213.102	443	tcp	ssl	0.065626	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.322906	Cx9cGn362GTjtVDYW9	192.168.3.131	52214	72.14.213.102	443	tcp	ssl	0.078269	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981562.323917	CrjYn23rLL8Y91uEqa	192.168.3.131	52215	72.14.213.102	443	tcp	ssl	0.078080	477	198	SF	-	-	0	ShADadFRf	6	729	5	410	(empty)
1295981563.633487	CzY2pD37XWGciYWF8b	192.168.3.131	58303	208.82.236.129	80	tcp	http	0.112666	552	218	SF	-	-	0	ShADdfFa	5	764	4	390	(empty)
1295981563.746980	CF0nq62xCxp2FojN8c	192.168.3.131	58304	208.82.236.129	80	tcp	http	0.166247	555	6775	SF	-	-	0	ShADdfFa	6	807	8	7107	(empty)
1295981564.037943	CXtLT13r6q2Nk76k1b	192.168.3.131	58305	208.82.236.129	80	tcp	http	0.108976	395	1462	SF	-	-	0	ShADdfFa	5	607	5	1674	(empty)
1295981543.495065	CRboJn49IgAcv26yIk	192.168.3.131	55956	66.235.139.121	80	tcp	http	21.200145	3489	1834	RSTR	-	-	0	ShADdr	8	3821	5	2046	(empty)
1295981565.934938	CRhEE13kfLFvPtMIK5	192.168.3.131	58310	208.82.236.129	80	tcp	http	0.165690	520	8477	SF	-	-	0	ShADdfFa	7	812	9	8849	(empty)
1295981569.987326	Cnru6M3iFtqwvGSqVi	192.168.3.131	56042	207.46.148.38	80	tcp	http	0.041873	638	573	SF	-	-	0	ShADfFa	5	850	3	701	(empty)
1295981571.018894	CFDu9z4bRaNWdydLd6	192.168.3.131	56052	207.46.148.38	80	tcp	http	0.038554	639	1865	SF	-	-	0	ShADdfFa	5	851	4	2033	(empty)
1295981564.048270	ChPoJg187HnK5B9eQj	192.168.3.131	56012	65.54.95.140	80	tcp	http	9.219604	397	39325	SF	-	-	0	ShADdfFa	18	1129	30	40537	(empty)
1295981573.597974	C4KydK3VyMNnZNcHq6	192.168.3.131	58327	208.82.236.129	80	tcp	http	0.161608	570	6028	SF	-	-	0	ShADdFf	7	862	8	6360	(empty)
1295981573.065135	Cfyu6Y21xMLU1L1Rrh	192.168.3.131	54600	224.0.0.252	5355	udp	dns	0.100132	44	0	S0	-	-	0	D	2	100	0	0	(empty)
